,price,year,condition,cylinders,odometer,title_status,transmission,drive,size,lat,long,weather
3291,21000,2012,3,8,70000,clean,automatic,4wd,full-size,44.2956,-88.2717,45.0
3292,15394,2008,3,8,136085,clean,automatic,4wd,mid-size,35.77523,-77.99925999999999,56.0
3293,35800,2015,3,8,32400,clean,automatic,4wd,full-size,43.651753,-94.45321,43.0
3294,17995,2014,2,6,108026,clean,automatic,4wd,full-size,41.686718,-86.012028,48.0
3297,22000,2015,3,8,38000,rebuilt,automatic,4wd,full-size,43.6013,-84.7736,45.0
3300,12550,2007,3,8,139848,clean,automatic,4wd,mid-size,44.57437,-88.16024,45.0
3301,17991,2013,2,8,76685,clean,automatic,4wd,full-size,37.650441,-97.335104,51.0
3302,6995,2008,2,8,144000,clean,automatic,4wd,full-size,46.9268,-98.0033,38.0
3303,15900,2010,2,8,137861,clean,automatic,4wd,full-size,37.215898,-86.695229,50.0
3304,4600,2004,2,8,190000,clean,automatic,rwd,full-size,34.8273,-86.7499,61.0
3305,30500,2016,3,8,39980,clean,automatic,rwd,full-size,30.2077,-92.0656,67.0
3306,16900,2014,2,6,64368,clean,automatic,rwd,full-size,31.316064,-89.43711400000001,61.0
3307,13880,2009,3,8,154597,clean,automatic,4wd,mid-size,44.87313,-87.89568,45.0
3308,16850,2008,3,8,53891,clean,automatic,4wd,full-size,41.41478499999999,-81.341279,49.0
3310,22695,2014,2,6,149278,clean,automatic,4wd,full-size,31.607642,-89.196805,61.0
3311,22995,2011,2,6,92201,clean,automatic,4wd,full-size,40.846711,-76.587963,53.0
3312,17995,2013,2,6,17091,clean,automatic,rwd,full-size,41.213364,-96.01271899999999,46.0
3315,7977,2005,2,8,159323,clean,automatic,4wd,full-size,42.345504,-88.269936,48.0
3318,6995,2003,3,8,167662,clean,automatic,4wd,full-size,45.518031,-122.578752,50.0
3320,24500,2010,3,8,80000,clean,automatic,4wd,full-size,42.4755,-92.2812,47.0
3321,8000,2007,2,6,76800,clean,automatic,rwd,full-size,39.5591,-75.4521,52.0
3322,9777,2006,3,8,152536,clean,automatic,4wd,full-size,38.159627,-85.69770799999999,50.0
3323,6000,2004,2,8,179100,clean,automatic,4wd,full-size,42.5739,-79.0596,53.0
3324,7800,2004,3,8,169991,clean,automatic,4wd,full-size,39.4567,-76.9696,56.0
3325,35000,2016,3,6,69747,clean,automatic,rwd,mid-size,30.43955,-91.08613000000001,67.0
